Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),91.6,,,91.3,91.9,81109919,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),89,,,88.6,89.3,79624729,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),90.4,,,88.2,92.3,1093352,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),87.6,,,85.5,89.5,1065834,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),89.9,,,86.9,92.2,183425,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),89.2,,,86,91.8,170494,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),89.1,,,86.8,91.1,1725676,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),88.8,,,86.5,90.7,1679490,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),90.6,,,87.6,92.9,668829,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),87.4,,,84.5,89.9,621547,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),92.2,,,91.2,93.1,10170227,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),89.3,,,88,90.4,9508873,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),90.9,,,89.6,92,1508049,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),89.6,,,88.1,90.9,1448972,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),93.8,,,92.4,94.9,968305,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),91.1,,,89.6,92.3,968230,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),91.3,,,88.9,93.2,242059,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),91.2,,,89.1,92.9,240256,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),95.3,,,93.7,96.5,201657,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),93.6,,,91.7,95.1,207063,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),89.1,,,87,91,5000189,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),86.4,,,84.2,88.4,5099585,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),89,,,87.5,90.4,2361200,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),84.6,,,82.9,86.2,2333000,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),94.7,,,93.5,95.7,396930,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),94.3,,,93.1,95.3,385062,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),89.5,,,86.8,91.7,414343,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),85,,,81.8,87.8,392968,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),92.2,,,90.6,93.5,3371291,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),91.2,,,89.6,92.6,3372421,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,No,Age-adjusted Prevalence (%),91.7,,,90,93.2,1612555,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,No,Age-adjusted Prevalence (%),89.7,,,88,91.3,1584810,,,
