Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,No,Age-adjusted Prevalence (%),70.6,,,69.7,71.5,20124799,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,No,Age-adjusted Prevalence (%),75.2,,,73.4,76.9,13672181,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,No,Age-adjusted Prevalence (%),72,,,70.8,73.1,26944559,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,No,Age-adjusted Prevalence (%),70.7,,,69,72.3,9693766,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,No,Age-adjusted Prevalence (%),60.7,,,56.2,65.1,365325,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,No,Age-adjusted Prevalence (%),64.2,,,52.9,74.1,222092,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,No,Age-adjusted Prevalence (%),65.1,,,59.4,70.3,536665,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,No,Age-adjusted Prevalence (%),59.7,,,51.6,67.3,152022,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,No,Age-adjusted Prevalence (%),67.2,,,58.4,74.8,38198,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,No,Age-adjusted Prevalence (%),75,,,61.9,84.6,40902,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,No,Age-adjusted Prevalence (%),80.7,,,67.5,89.4,49008,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,No,Age-adjusted Prevalence (%),74.5,,,61.9,84,24228,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,No,Age-adjusted Prevalence (%),71.5,,,65.6,76.9,406970,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,No,Age-adjusted Prevalence (%),78.9,,,66.2,87.7,312509,,,
