Data as of,Start week,End Week,State,Sex,Age group,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,Under 1 year,20,"10,876",103,3,16,136
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,1-4 years,14,"2,083",72,2,42,126
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,5-14 years,30,"3,226",102,8,52,176
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,15-24 years,333,"20,786",424,119,53,687
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,18-29 years,798,"36,946",997,332,100,"1,553"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,25-34 years,1405,"42,919","1,555",626,151,"2,471"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,30-49 years,8360,"128,909","7,781","3,743",565,"12,885"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,35-44 years,3675,"60,673","3,506","1,619",247,"5,780"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,45-54 years,9694,"111,610","9,089","4,510",577,"14,745"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,50-64 years,29055,"322,794","30,099","13,986","1,588","46,472"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,55-64 years,23134,"255,771","24,339","11,191","1,238","37,300"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,65-74 years,39129,"387,801","41,218","18,788","1,450","62,772"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,75-84 years,48136,"473,523","50,803","22,276","1,476","77,932"
9/16/2020,2/1/2020,9/12/2020,United States,All Sexes,85 years and over,56525,"588,498","54,905","22,549","1,385","90,089"
9/16/2020,2/1/2020,9/12/2020,United States,Male,Under 1 year,13,"6,006",65,2,8,84
9/16/2020,2/1/2020,9/12/2020,United States,Male,1-4 years,7,"1,213",36,1,25,67
9/16/2020,2/1/2020,9/12/2020,United States,Male,5-14 years,21,"1,911",53,7,23,90
9/16/2020,2/1/2020,9/12/2020,United States,Male,15-24 years,207,"15,398",265,74,27,422
9/16/2020,2/1/2020,9/12/2020,United States,Male,18-29 years,521,"27,110",615,204,53,978
9/16/2020,2/1/2020,9/12/2020,United States,Male,25-34 years,934,"30,289",962,406,76,"1,557"
9/16/2020,2/1/2020,9/12/2020,United States,Male,30-49 years,5735,"84,586","4,928","2,577",304,"8,334"
9/16/2020,2/1/2020,9/12/2020,United States,Male,35-44 years,2514,"40,013","2,225","1,106",132,"3,742"
9/16/2020,2/1/2020,9/12/2020,United States,Male,45-54 years,6619,"70,196","5,698","3,092",342,"9,495"
9/16/2020,2/1/2020,9/12/2020,United States,Male,50-64 years,19037,"199,545","18,425","9,114",916,"29,071"
9/16/2020,2/1/2020,9/12/2020,United States,Male,55-64 years,15033,"157,542","14,841","7,218",704,"23,211"
9/16/2020,2/1/2020,9/12/2020,United States,Male,65-74 years,24088,"225,437","24,778","11,639",810,"37,883"
9/16/2020,2/1/2020,9/12/2020,United States,Male,75-84 years,26451,"246,115","28,409","12,553",733,"42,923"
9/16/2020,2/1/2020,9/12/2020,United States,Male,85 years and over,22496,"227,149","24,513","9,916",565,"37,573"
9/16/2020,2/1/2020,9/12/2020,United States,Female,Under 1 year,7,"4,852",38,1,8,52
9/16/2020,2/1/2020,9/12/2020,United States,Female,1-4 years,7,870,36,1,17,59
9/16/2020,2/1/2020,9/12/2020,United States,Female,5-14 years,9,"1,315",49,1,29,86
9/16/2020,2/1/2020,9/12/2020,United States,Female,15-24 years,126,"5,387",159,45,26,265
9/16/2020,2/1/2020,9/12/2020,United States,Female,18-29 years,277,"9,836",382,128,47,575
9/16/2020,2/1/2020,9/12/2020,United States,Female,25-34 years,471,"12,628",593,220,75,914
9/16/2020,2/1/2020,9/12/2020,United States,Female,30-49 years,2625,"44,317","2,853","1,166",261,"4,551"
9/16/2020,2/1/2020,9/12/2020,United States,Female,35-44 years,1161,"20,657","1,281",513,115,"2,038"
9/16/2020,2/1/2020,9/12/2020,United States,Female,45-54 years,3074,"41,411","3,390","1,417",235,"5,249"
9/16/2020,2/1/2020,9/12/2020,United States,Female,50-64 years,10017,"123,240","11,672","4,871",671,"17,398"
9/16/2020,2/1/2020,9/12/2020,United States,Female,55-64 years,8101,"98,222","9,497","3,973",533,"14,087"
9/16/2020,2/1/2020,9/12/2020,United States,Female,65-74 years,15040,"162,354","16,439","7,148",640,"24,888"
9/16/2020,2/1/2020,9/12/2020,United States,Female,75-84 years,21684,"227,398","22,393","9,722",743,"35,008"
