NAME,state,county,Estimate!!Total!!Two or more races!!Two races including Some other race,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!White alone,Estimate!!Total,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Asian alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Black or African American alone
"Washington County, Mississippi",28,151,74.0,391.0,278.0,204.0,12097.0,47086.0,0.0,282.0,56.0,33982.0
"Perry County, Mississippi",28,111,5.0,16.0,152.0,147.0,9475.0,12028.0,0.0,17.0,0.0,2368.0
"Choctaw County, Mississippi",28,019,0.0,13.0,35.0,35.0,5631.0,8321.0,8.0,15.0,23.0,2596.0
"Itawamba County, Mississippi",28,057,12.0,170.0,144.0,132.0,21346.0,23480.0,7.0,57.0,75.0,1681.0
"Carroll County, Mississippi",28,015,15.0,0.0,97.0,82.0,6523.0,10129.0,0.0,0.0,6.0,3503.0
"Grenada County, Mississippi",28,043,0.0,16.0,130.0,130.0,11736.0,21278.0,0.0,23.0,135.0,9238.0
"Jefferson County, Mississippi",28,063,0.0,7.0,6.0,6.0,979.0,7346.0,0.0,33.0,11.0,6310.0
"Greene County, Mississippi",28,041,2.0,4.0,107.0,105.0,10054.0,13714.0,0.0,0.0,53.0,3496.0
"Marshall County, Mississippi",28,093,0.0,640.0,317.0,317.0,17657.0,35787.0,0.0,24.0,15.0,17134.0
"Quitman County, Mississippi",28,119,5.0,40.0,18.0,13.0,2027.0,7372.0,0.0,5.0,0.0,5282.0
"Bolivar County, Mississippi",28,011,33.0,363.0,231.0,198.0,10803.0,32592.0,0.0,213.0,41.0,20941.0
"Lamar County, Mississippi",28,073,57.0,340.0,1020.0,963.0,46763.0,61223.0,0.0,780.0,80.0,12240.0
"Lee County, Mississippi",28,081,219.0,910.0,1041.0,822.0,57379.0,84915.0,6.0,720.0,206.0,24653.0
"Pike County, Mississippi",28,113,0.0,103.0,280.0,280.0,17695.0,39737.0,4.0,239.0,153.0,21263.0
"Tallahatchie County, Mississippi",28,135,30.0,1915.0,34.0,4.0,5082.0,14361.0,13.0,206.0,22.0,7089.0
"Smith County, Mississippi",28,129,0.0,4.0,72.0,72.0,12182.0,16063.0,30.0,69.0,0.0,3706.0
"Stone County, Mississippi",28,131,10.0,0.0,372.0,362.0,14373.0,18375.0,20.0,0.0,66.0,3544.0
"Warren County, Mississippi",28,149,39.0,160.0,563.0,524.0,22859.0,47075.0,9.0,241.0,105.0,23138.0
"Clarke County, Mississippi",28,023,11.0,44.0,65.0,54.0,10113.0,15928.0,0.0,0.0,10.0,5696.0
"Kemper County, Mississippi",28,069,0.0,0.0,10.0,10.0,3571.0,10107.0,0.0,0.0,370.0,6156.0
"Montgomery County, Mississippi",28,097,2.0,45.0,293.0,291.0,5398.0,10198.0,0.0,34.0,0.0,4428.0
"Oktibbeha County, Mississippi",28,105,29.0,170.0,816.0,787.0,28538.0,49481.0,20.0,1546.0,47.0,18344.0
"Pearl River County, Mississippi",28,109,95.0,427.0,1065.0,970.0,46341.0,55149.0,0.0,183.0,87.0,7046.0
"Leake County, Mississippi",28,079,0.0,17.0,117.0,117.0,11754.0,22870.0,0.0,85.0,1289.0,9608.0
"Noxubee County, Mississippi",28,103,0.0,7.0,48.0,48.0,2940.0,10828.0,0.0,4.0,9.0,7820.0
"Neshoba County, Mississippi",28,099,9.0,44.0,565.0,556.0,17673.0,29376.0,8.0,136.0,4754.0,6196.0
"Rankin County, Mississippi",28,121,132.0,1380.0,1840.0,1708.0,115013.0,151240.0,41.0,1738.0,225.0,31003.0
"Tate County, Mississippi",28,137,32.0,232.0,858.0,826.0,18908.0,28493.0,51.0,52.0,40.0,8352.0
"Lawrence County, Mississippi",28,077,0.0,55.0,97.0,97.0,8259.0,12630.0,0.0,16.0,10.0,4193.0
"Panola County, Mississippi",28,107,0.0,87.0,334.0,334.0,16645.0,34243.0,11.0,6.0,59.0,17101.0
"Yalobusha County, Mississippi",28,161,0.0,70.0,25.0,25.0,7220.0,12421.0,0.0,8.0,44.0,5054.0
"Chickasaw County, Mississippi",28,017,64.0,255.0,423.0,359.0,9063.0,17279.0,0.0,12.0,21.0,7505.0
"Copiah County, Mississippi",28,029,118.0,405.0,273.0,155.0,13047.0,28721.0,0.0,92.0,9.0,14895.0
"George County, Mississippi",28,039,9.0,149.0,143.0,134.0,21185.0,23710.0,0.0,98.0,227.0,1908.0
"Hinds County, Mississippi",28,049,84.0,1235.0,1498.0,1414.0,62129.0,241774.0,53.0,1897.0,264.0,174698.0
"Newton County, Mississippi",28,101,77.0,64.0,286.0,209.0,13436.0,21524.0,0.0,110.0,1109.0,6519.0
"Union County, Mississippi",28,145,19.0,705.0,614.0,595.0,22687.0,28356.0,49.0,112.0,17.0,4172.0
"Sharkey County, Mississippi",28,125,0.0,8.0,0.0,0.0,1132.0,4511.0,0.0,28.0,6.0,3337.0
