NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Washington County, Mississippi",28,151,351.0,1534.0,97.0,15496.0,46528.0,1873.0,2027.0,7641.0,1973.0,31032.0,2146.0,2009.0,16636.0,2171.0,1566.0,5939.0,565.0
"Perry County, Mississippi",28,111,117.0,365.0,35.0,2231.0,11915.0,286.0,187.0,1003.0,238.0,9684.0,635.0,619.0,5233.0,814.0,456.0,1756.0,171.0
"Choctaw County, Mississippi",28,019,99.0,213.0,36.0,1888.0,8108.0,291.0,199.0,884.0,166.0,6220.0,347.0,313.0,3178.0,397.0,448.0,1370.0,167.0
"Itawamba County, Mississippi",28,057,182.0,341.0,91.0,3428.0,22320.0,395.0,178.0,1899.0,342.0,18892.0,1375.0,1215.0,10161.0,1490.0,945.0,3282.0,424.0
"Carroll County, Mississippi",28,015,33.0,320.0,40.0,1477.0,9963.0,133.0,89.0,728.0,134.0,8486.0,576.0,405.0,4441.0,632.0,666.0,1652.0,114.0
"Grenada County, Mississippi",28,043,104.0,444.0,118.0,5090.0,20780.0,792.0,668.0,2467.0,497.0,15690.0,1062.0,849.0,8631.0,1037.0,987.0,2878.0,246.0
"Jefferson County, Mississippi",28,063,159.0,414.0,48.0,3418.0,6874.0,390.0,295.0,1693.0,419.0,3456.0,236.0,176.0,1903.0,172.0,118.0,709.0,142.0
"Greene County, Mississippi",28,041,7.0,112.0,25.0,1475.0,10164.0,109.0,177.0,872.0,173.0,8689.0,876.0,575.0,4460.0,758.0,481.0,1411.0,128.0
"Marshall County, Mississippi",28,093,143.0,803.0,48.0,6148.0,33601.0,649.0,969.0,2878.0,658.0,27453.0,1496.0,1725.0,15293.0,2074.0,1383.0,5164.0,318.0
"Quitman County, Mississippi",28,119,85.0,321.0,18.0,2549.0,7188.0,350.0,291.0,1139.0,345.0,4639.0,190.0,319.0,2574.0,281.0,267.0,910.0,98.0
"Bolivar County, Mississippi",28,011,182.0,897.0,110.0,10723.0,31018.0,1459.0,1308.0,5806.0,961.0,20295.0,1519.0,1405.0,10716.0,1392.0,990.0,3909.0,364.0
"Lamar County, Mississippi",28,073,187.0,749.0,61.0,10049.0,60739.0,1397.0,767.0,6041.0,847.0,50690.0,3969.0,4068.0,28537.0,4227.0,2107.0,7067.0,715.0
"Lee County, Mississippi",28,081,348.0,1189.0,163.0,13280.0,83733.0,1690.0,1626.0,6852.0,1412.0,70453.0,5614.0,5100.0,39328.0,5949.0,3246.0,10407.0,809.0
"Pike County, Mississippi",28,113,293.0,1599.0,169.0,13040.0,38532.0,1794.0,1630.0,6129.0,1426.0,25492.0,1734.0,1686.0,13627.0,1968.0,1589.0,4505.0,383.0
"Tallahatchie County, Mississippi",28,135,161.0,389.0,65.0,3357.0,10976.0,486.0,243.0,1489.0,524.0,7619.0,450.0,667.0,3789.0,441.0,417.0,1704.0,151.0
"Smith County, Mississippi",28,129,148.0,241.0,32.0,2697.0,15930.0,303.0,376.0,1298.0,299.0,13233.0,864.0,768.0,6869.0,1229.0,802.0,2505.0,196.0
"Stone County, Mississippi",28,131,46.0,421.0,33.0,3019.0,17686.0,485.0,207.0,1474.0,353.0,14667.0,895.0,1008.0,8209.0,1088.0,793.0,2471.0,203.0
"Warren County, Mississippi",28,149,215.0,1016.0,88.0,9594.0,46536.0,1156.0,1183.0,4953.0,983.0,36942.0,2822.0,2431.0,19612.0,2844.0,1741.0,6843.0,649.0
"Clarke County, Mississippi",28,023,126.0,484.0,23.0,3039.0,15772.0,352.0,394.0,1313.0,347.0,12733.0,887.0,615.0,6763.0,902.0,856.0,2406.0,304.0
"Kemper County, Mississippi",28,069,49.0,301.0,18.0,2760.0,9213.0,314.0,289.0,1516.0,273.0,6453.0,387.0,207.0,3450.0,473.0,647.0,1153.0,136.0
"Montgomery County, Mississippi",28,097,106.0,369.0,19.0,2748.0,10056.0,518.0,349.0,1090.0,297.0,7308.0,227.0,407.0,3925.0,511.0,519.0,1531.0,188.0
"Oktibbeha County, Mississippi",28,105,200.0,583.0,35.0,13304.0,44274.0,723.0,573.0,10431.0,759.0,30970.0,2005.0,2512.0,17753.0,2028.0,1407.0,4781.0,484.0
"Pearl River County, Mississippi",28,109,360.0,1152.0,109.0,8633.0,53522.0,1033.0,898.0,4385.0,696.0,44889.0,3425.0,2791.0,23301.0,3532.0,2228.0,8833.0,779.0
"Leake County, Mississippi",28,079,262.0,521.0,76.0,5731.0,22106.0,687.0,440.0,2620.0,1125.0,16375.0,1387.0,1204.0,9008.0,1164.0,783.0,2569.0,260.0
"Noxubee County, Mississippi",28,103,90.0,416.0,10.0,3114.0,10569.0,367.0,475.0,1539.0,217.0,7455.0,489.0,392.0,4173.0,734.0,371.0,1074.0,222.0
"Neshoba County, Mississippi",28,099,206.0,457.0,110.0,6826.0,28855.0,969.0,813.0,3567.0,704.0,22029.0,2083.0,1524.0,11411.0,2000.0,1147.0,3638.0,226.0
"Rankin County, Mississippi",28,121,591.0,1367.0,203.0,11957.0,145655.0,853.0,1196.0,6799.0,948.0,133698.0,10677.0,9972.0,74551.0,11715.0,5725.0,19405.0,1653.0
"Tate County, Mississippi",28,137,134.0,516.0,59.0,5194.0,26418.0,720.0,606.0,2506.0,653.0,21224.0,1405.0,1367.0,11607.0,1630.0,966.0,3794.0,455.0
"Lawrence County, Mississippi",28,077,57.0,296.0,9.0,2444.0,12606.0,215.0,287.0,1185.0,395.0,10162.0,710.0,719.0,5203.0,740.0,620.0,1981.0,189.0
"Panola County, Mississippi",28,107,161.0,653.0,60.0,7107.0,33999.0,677.0,1303.0,3656.0,597.0,26892.0,2210.0,1634.0,14691.0,2175.0,1512.0,4380.0,290.0
"Yalobusha County, Mississippi",28,161,101.0,237.0,11.0,1978.0,12213.0,196.0,179.0,1063.0,191.0,10235.0,620.0,784.0,5139.0,812.0,595.0,2132.0,153.0
"Chickasaw County, Mississippi",28,017,98.0,384.0,0.0,3576.0,16907.0,339.0,543.0,1804.0,408.0,13331.0,949.0,950.0,7020.0,1104.0,772.0,2345.0,191.0
"Copiah County, Mississippi",28,029,151.0,585.0,190.0,6662.0,27795.0,956.0,889.0,3226.0,665.0,21133.0,1412.0,1217.0,11387.0,1514.0,1240.0,4054.0,309.0
"George County, Mississippi",28,039,116.0,439.0,83.0,3397.0,23199.0,323.0,393.0,1743.0,300.0,19802.0,1672.0,1760.0,10413.0,1807.0,773.0,3143.0,234.0
"Hinds County, Mississippi",28,049,1093.0,4529.0,630.0,51764.0,232966.0,6692.0,6405.0,25861.0,6554.0,181202.0,13095.0,12390.0,104408.0,13099.0,7193.0,27505.0,3512.0
"Newton County, Mississippi",28,101,175.0,468.0,68.0,5446.0,20842.0,790.0,658.0,2691.0,596.0,15396.0,1201.0,929.0,8158.0,1286.0,863.0,2673.0,286.0
"Union County, Mississippi",28,145,216.0,234.0,116.0,4361.0,28009.0,401.0,399.0,2373.0,622.0,23648.0,2160.0,1632.0,12217.0,1869.0,1288.0,4187.0,295.0
"Sharkey County, Mississippi",28,125,14.0,213.0,21.0,1143.0,4409.0,146.0,57.0,589.0,103.0,3266.0,236.0,279.0,1651.0,272.0,138.0,628.0,62.0
"Tippah County, Mississippi",28,139,169.0,389.0,30.0,4264.0,21603.0,401.0,629.0,2157.0,489.0,17339.0,1140.0,1069.0,9411.0,1616.0,908.0,3004.0,191.0
"Forrest County, Mississippi",28,035,505.0,1399.0,216.0,17973.0,71762.0,2126.0,1551.0,10590.0,1586.0,53789.0,3900.0,4056.0,29925.0,3968.0,2353.0,8625.0,962.0
"Hancock County, Mississippi",28,045,346.0,1111.0,11.0,8316.0,46412.0,542.0,882.0,4428.0,996.0,38096.0,2230.0,2156.0,20130.0,3001.0,2429.0,7510.0,640.0
"Lafayette County, Mississippi",28,071,139.0,474.0,28.0,11490.0,48368.0,552.0,593.0,8822.0,882.0,36878.0,2701.0,2743.0,21386.0,2213.0,1582.0,5700.0,553.0
"Issaquena County, Mississippi",28,055,23.0,35.0,3.0,439.0,1053.0,28.0,94.0,233.0,23.0,614.0,20.0,25.0,338.0,10.0,37.0,176.0,8.0
"Lowndes County, Mississippi",28,087,545.0,1161.0,64.0,12759.0,57660.0,1589.0,1371.0,6497.0,1532.0,44901.0,3126.0,3239.0,25265.0,3028.0,2214.0,7409.0,620.0
"Leflore County, Mississippi",28,083,142.0,1044.0,172.0,11143.0,28445.0,1377.0,1748.0,5313.0,1347.0,17302.0,1242.0,1239.0,9373.0,1248.0,892.0,2998.0,310.0
"Wilkinson County, Mississippi",28,157,45.0,455.0,37.0,2587.0,7899.0,343.0,291.0,1082.0,334.0,5312.0,308.0,372.0,2865.0,278.0,349.0,1019.0,121.0
"Harrison County, Mississippi",28,047,896.0,3480.0,276.0,39694.0,197010.0,4900.0,5089.0,20284.0,4769.0,157316.0,11451.0,11089.0,88777.0,10781.0,7551.0,25515.0,2152.0
"Jefferson Davis County, Mississippi",28,065,150.0,465.0,63.0,3059.0,11320.0,222.0,234.0,1561.0,364.0,8261.0,493.0,423.0,4258.0,536.0,573.0,1821.0,157.0
"Lincoln County, Mississippi",28,085,204.0,781.0,122.0,7458.0,33870.0,968.0,682.0,3843.0,858.0,26412.0,2014.0,1727.0,14155.0,2051.0,1496.0,4662.0,307.0
"Scott County, Mississippi",28,123,165.0,829.0,123.0,8123.0,28037.0,840.0,1109.0,3974.0,1083.0,19914.0,1407.0,1424.0,10786.0,1532.0,1034.0,3463.0,268.0
"Winston County, Mississippi",28,159,211.0,544.0,40.0,4120.0,17918.0,637.0,537.0,1789.0,362.0,13798.0,1098.0,561.0,7121.0,985.0,881.0,2800.0,352.0
"Yazoo County, Mississippi",28,163,237.0,561.0,122.0,7609.0,23434.0,860.0,1017.0,3784.0,1028.0,15825.0,1405.0,1000.0,8389.0,1304.0,780.0,2506.0,441.0
"Benton County, Mississippi",28,009,67.0,197.0,91.0,1910.0,8173.0,75.0,54.0,1178.0,248.0,6263.0,550.0,265.0,3187.0,608.0,406.0,1157.0,90.0
"Franklin County, Mississippi",28,037,41.0,194.0,14.0,1264.0,7658.0,167.0,156.0,608.0,84.0,6394.0,494.0,382.0,3103.0,580.0,396.0,1340.0,99.0
"Jasper County, Mississippi",28,061,208.0,427.0,46.0,3810.0,16443.0,555.0,410.0,1672.0,492.0,12633.0,587.0,743.0,6531.0,957.0,976.0,2705.0,134.0
"Jones County, Mississippi",28,067,344.0,1512.0,255.0,14321.0,66926.0,1848.0,1976.0,6816.0,1570.0,52605.0,4213.0,3699.0,27815.0,4019.0,2840.0,9146.0,873.0
"Monroe County, Mississippi",28,095,349.0,853.0,100.0,6368.0,35336.0,733.0,851.0,2904.0,578.0,28968.0,2131.0,1787.0,15206.0,2071.0,1758.0,5560.0,455.0
"Sunflower County, Mississippi",28,133,136.0,565.0,47.0,7047.0,22389.0,876.0,784.0,3665.0,974.0,15342.0,1198.0,1002.0,8407.0,1191.0,812.0,2470.0,262.0
"Webster County, Mississippi",28,155,39.0,149.0,16.0,2482.0,9739.0,466.0,379.0,1240.0,193.0,7257.0,451.0,298.0,3888.0,562.0,532.0,1393.0,133.0
"Adams County, Mississippi",28,001,343.0,983.0,101.0,9930.0,28925.0,1323.0,1379.0,4774.0,1027.0,18995.0,847.0,890.0,10207.0,1100.0,1400.0,4054.0,497.0
