NAME,state,Estimate!!Total!!Female!!Under 6 years,Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage,Estimate!!Total!!Female,Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage,Estimate!!Total!!Male!!65 to 74 years,Estimate!!Total!!Male!!55 to 64 years,Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage,Estimate!!Total!!Male!!75 years and over,Estimate!!Total!!Male!!75 years and over!!With health insurance coverage,Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage,Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage,Estimate!!Total!!Male!!75 years and over!!No health insurance coverage,Estimate!!Total!!Female!!26 to 34 years,Estimate!!Total!!Female!!35 to 44 years,Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage,Estimate!!Total!!Female!!26 to 34 years!!With health insurance coverage,Estimate!!Total!!Female!!26 to 34 years!!No health insurance coverage,Estimate!!Total!!Female!!6 to 18 years!!With health insurance coverage,Estimate!!Total!!Female!!6 to 18 years!!No health insurance coverage,Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage,Estimate!!Total!!Female!!6 to 18 years,Estimate!!Total!!Female!!19 to 25 years!!No health insurance coverage,Estimate!!Total!!Female!!19 to 25 years,Estimate!!Total!!Female!!19 to 25 years!!With health insurance coverage,Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage,Estimate!!Total!!Female!!65 to 74 years,Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage,Estimate!!Total!!Female!!75 years and over,Estimate!!Total!!Female!!75 years and over!!With health insurance coverage,Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage,Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage,Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage,Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage,Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage,Estimate!!Total!!Female!!45 to 54 years,Estimate!!Total!!Female!!55 to 64 years,Estimate!!Total!!Female!!75 years and over!!No health insurance coverage,Estimate!!Total!!Male!!Under 6 years,Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage,Estimate!!Total,Estimate!!Total!!Male,Estimate!!Total!!Male!!6 to 18 years!!With health insurance coverage,Estimate!!Total!!Male!!6 to 18 years!!No health insurance coverage,Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage,Estimate!!Total!!Male!!6 to 18 years,Estimate!!Total!!Male!!19 to 25 years,Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage,Estimate!!Total!!Male!!19 to 25 years!!No health insurance coverage,Estimate!!Total!!Male!!26 to 34 years,Estimate!!Total!!Male!!19 to 25 years!!With health insurance coverage,Estimate!!Total!!Male!!35 to 44 years,Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage,Estimate!!Total!!Male!!26 to 34 years!!With health insurance coverage,Estimate!!Total!!Male!!26 to 34 years!!No health insurance coverage,Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage,Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage,Estimate!!Total!!Male!!45 to 54 years
Minnesota,27,205046.0,198639.0,2750912.0,15139.0,224335.0,362488.0,347349.0,139624.0,139304.0,223711.0,624.0,320.0,333770.0,337159.0,318518.0,312296.0,21474.0,446245.0,16535.0,6407.0,462780.0,14072.0,244224.0,230152.0,13105.0,241802.0,358063.0,194087.0,193423.0,241050.0,752.0,345453.0,15423.0,18641.0,360876.0,371168.0,664.0,217499.0,210948.0,5469389.0,2718477.0,461899.0,18296.0,6551.0,480195.0,250612.0,20183.0,23977.0,340724.0,226635.0,342515.0,316191.0,304447.0,36277.0,340302.0,26324.0,360485.0
Mississippi,28,111845.0,107787.0,1523423.0,20966.0,120727.0,175972.0,155006.0,69014.0,68896.0,120120.0,607.0,118.0,175072.0,189016.0,155744.0,140001.0,35071.0,247820.0,14337.0,4058.0,262157.0,33793.0,145504.0,111711.0,22962.0,141102.0,175063.0,105423.0,105171.0,140439.0,663.0,163676.0,31603.0,33272.0,195279.0,198025.0,252.0,114525.0,110075.0,2922647.0,1399224.0,260194.0,15018.0,4450.0,275212.0,142743.0,30806.0,40783.0,155565.0,101960.0,169912.0,132611.0,111268.0,44297.0,144748.0,37301.0,175554.0
Missouri,29,216826.0,205077.0,3062934.0,33694.0,257914.0,386060.0,352366.0,160452.0,160078.0,256341.0,1573.0,374.0,360231.0,366247.0,319155.0,302766.0,57465.0,465196.0,30789.0,11749.0,495985.0,44848.0,282207.0,237359.0,36295.0,295334.0,381506.0,230234.0,229482.0,293716.0,1618.0,354070.0,43999.0,47092.0,398069.0,417801.0,752.0,228130.0,216629.0,5976738.0,2913804.0,487857.0,31201.0,11501.0,519058.0,283341.0,47581.0,55862.0,346029.0,227479.0,353352.0,298718.0,276054.0,69975.0,331887.0,54634.0,379468.0
Montana,30,35956.0,33826.0,512403.0,7998.0,54566.0,73583.0,65585.0,31737.0,31705.0,54296.0,270.0,32.0,58372.0,58504.0,51224.0,49568.0,8804.0,75301.0,5599.0,2130.0,80900.0,7199.0,46008.0,38809.0,8200.0,54159.0,68892.0,38653.0,38500.0,53984.0,175.0,55034.0,7725.0,7280.0,62759.0,77092.0,153.0,38589.0,36707.0,1026586.0,514183.0,77999.0,6766.0,1882.0,84765.0,50000.0,8309.0,10285.0,58578.0,39715.0,60413.0,50654.0,46234.0,12344.0,53643.0,9759.0,61952.0
Nebraska,31,77083.0,73807.0,943401.0,8704.0,75307.0,117342.0,108638.0,48445.0,48357.0,74753.0,554.0,88.0,110326.0,113784.0,100227.0,94987.0,15339.0,155779.0,8880.0,3276.0,164659.0,12680.0,92540.0,79860.0,8451.0,82070.0,112913.0,68344.0,68188.0,81659.0,411.0,103373.0,9858.0,13557.0,113231.0,121364.0,156.0,81044.0,77390.0,1875468.0,932067.0,164852.0,9838.0,3654.0,174690.0,93554.0,12204.0,14784.0,112474.0,78770.0,115502.0,99305.0,93274.0,19200.0,101505.0,16197.0,113709.0
Nevada,32,105608.0,98854.0,1448444.0,18008.0,130959.0,175033.0,157025.0,74485.0,73524.0,129019.0,1940.0,961.0,184156.0,191716.0,160133.0,152378.0,31778.0,219653.0,20547.0,6754.0,240200.0,20099.0,125392.0,105293.0,17917.0,140557.0,164838.0,87718.0,86437.0,137742.0,2815.0,165069.0,25273.0,31583.0,190342.0,182755.0,1281.0,112395.0,105593.0,2887475.0,1439031.0,227192.0,21573.0,6802.0,248765.0,126608.0,29447.0,26981.0,185611.0,99627.0,190986.0,154136.0,142116.0,43495.0,164742.0,36850.0,194189.0
New Hampshire,33,37924.0,37030.0,671806.0,6907.0,64706.0,100806.0,93899.0,36281.0,36245.0,64541.0,165.0,36.0,69939.0,78032.0,72060.0,62481.0,7458.0,97035.0,3463.0,894.0,100498.0,5907.0,61216.0,55309.0,6468.0,69324.0,97996.0,49093.0,48988.0,68934.0,390.0,93971.0,7345.0,5972.0,101316.0,104464.0,105.0,40199.0,38875.0,1326243.0,654437.0,100888.0,2658.0,1324.0,103546.0,63146.0,9117.0,8857.0,71503.0,54289.0,75687.0,67932.0,60050.0,11453.0,89446.0,7755.0,98563.0
New Jersey,34,307463.0,297620.0,4511395.0,42145.0,349075.0,564880.0,522735.0,226748.0,224909.0,344401.0,4674.0,1839.0,500837.0,576398.0,509512.0,431523.0,69314.0,680417.0,31596.0,9843.0,712013.0,45374.0,381438.0,336064.0,43449.0,414261.0,569662.0,347580.0,344692.0,407926.0,6335.0,598788.0,59506.0,66886.0,658294.0,613111.0,2888.0,319693.0,310557.0,8776839.0,4265444.0,709975.0,32597.0,9136.0,742572.0,391869.0,67189.0,60255.0,498527.0,331614.0,553679.0,467487.0,394700.0,103827.0,551212.0,86192.0,618401.0
New Mexico,35,75701.0,72434.0,1049372.0,14432.0,95018.0,128357.0,113925.0,58599.0,58364.0,93919.0,1099.0,235.0,120540.0,122403.0,102795.0,102023.0,18517.0,169476.0,11638.0,3267.0,181114.0,14505.0,96191.0,81686.0,12632.0,106237.0,129562.0,76438.0,75807.0,104478.0,1759.0,112311.0,16243.0,19608.0,128554.0,142194.0,631.0,78659.0,75648.0,2057526.0,1008154.0,174905.0,12176.0,3011.0,187081.0,101251.0,18192.0,22227.0,120319.0,79024.0,118400.0,95624.0,92857.0,27462.0,102278.0,22776.0,120470.0
New York,36,673424.0,657392.0,10015726.0,72808.0,773617.0,1207958.0,1135150.0,502991.0,500854.0,765234.0,8383.0,2137.0,1276473.0,1241549.0,1138091.0,1148692.0,127781.0,1437051.0,40970.0,16032.0,1478021.0,73290.0,950182.0,876892.0,63977.0,923712.0,1262571.0,773226.0,769181.0,914419.0,9293.0,1282283.0,90308.0,103458.0,1372591.0,1326548.0,4045.0,709816.0,691802.0,19378618.0,9362892.0,1483443.0,43883.0,18014.0,1527326.0,941971.0,117190.0,106762.0,1241239.0,835209.0,1178894.0,1024899.0,1038397.0,202842.0,1161890.0,153995.0,1279080.0
