Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,18-44,Yes,Prevalence (%),31.9,,,30.8,33,6617931,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),24.3,,,23.4,25.1,5755860,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,65+,Yes,Prevalence (%),8.3,,,7.7,8.9,1867213,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,18-44,Yes,Prevalence (%),45.9,,,39.8,52.1,164142,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),28,,,24.5,31.7,132445,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,65+,Yes,Prevalence (%),8.6,,,6.6,11,33760,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,18-44,Yes,Prevalence (%),28.4,,,20.1,38.5,14097,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),23.2,,,17.3,30.3,12821,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,65+,Yes,Prevalence (%),9.2,,,6.3,13.2,3531,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,18-44,Yes,Prevalence (%),33.3,,,26.5,40.9,146646,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),19.1,,,15.3,23.6,94767,,,
