Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,18-44,No,Prevalence (%),87.6,,,87.2,88,80282824,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,No,Prevalence (%),91.1,,,90.7,91.5,52345503,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,65+,No,Prevalence (%),97.2,,,96.9,97.5,28359080,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,18-44,No,Prevalence (%),86,,,83.4,88.3,1087045,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,No,Prevalence (%),90.3,,,88.2,92,669315,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,65+,No,Prevalence (%),96.2,,,94.7,97.3,402827,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,18-44,No,Prevalence (%),87.2,,,83.7,90.1,198970,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,No,Prevalence (%),89.2,,,85.6,91.9,111180,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,65+,No,Prevalence (%),98.1,,,96.3,99,46004,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,18-44,No,Prevalence (%),86.3,,,83.7,88.6,1700279,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,No,Prevalence (%),89,,,86.3,91.2,1010010,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,65+,No,Prevalence (%),97.1,,,95.3,98.2,698536,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,18-44,No,Prevalence (%),85.9,,,82.4,88.8,657229,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,No,Prevalence (%),89.9,,,86.9,92.3,384726,,,
