Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),24.2,,,23.3,25.2,6173630,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),26.8,,,25.9,27.7,8025790,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),30.8,,,25.7,36.5,131423,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),36.6,,,32.3,41.1,198924,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),18.3,,,12.6,25.7,12799,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),29.5,,,21.9,38.5,17650,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),24.5,,,19.2,30.8,128163,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),25.4,,,20.2,31.5,151910,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),26.1,,,20.1,33.3,67161,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),33,,,27.8,38.7,113097,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),22.7,,,19.5,26.2,623713,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),24.1,,,20.9,27.6,753091,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),20.1,,,16.4,24.3,63248,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),28.1,,,24,32.7,101802,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),17.9,,,14.1,22.5,40455,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),18.7,,,14.9,23.3,52371,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),16.2,,,11.6,22.2,11284,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),21.2,,,17,26.2,21133,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),18.1,,,11.5,27.3,6437,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),15.6,,,10.7,22.3,9106,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),30.3,,,25.2,36,559918,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),35.7,,,31,40.6,739427,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),31,,,26.9,35.3,268498,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),38.5,,,34.8,42.4,383983,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),16,,,12.1,20.9,15963,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),14.4,,,10.3,19.8,16072,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),24.4,,,18.3,31.7,29958,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),29.6,,,22.7,37.5,40234,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),24.4,,,19.3,30.4,190262,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),27.9,,,22.7,33.9,270801,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),22.9,,,18.5,27.9,120460,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),26.3,,,22.1,31.1,152682,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),14.5,,,11.6,18,29596,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),17.7,,,14.3,21.7,40698,,,
2018,KS,Kansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),24,,,20,28.6,49112,,,
2018,KS,Kansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),28.6,,,24.8,32.7,67397,,,
2018,KY,Kentucky,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),23.6,,,18.9,29,111656,,,
2018,KY,Kentucky,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),17.5,,,14.1,21.5,109826,,,
2018,LA,Louisiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),26.7,,,21.7,32.4,135123,,,
2018,LA,Louisiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),25.3,,,21.1,30,139421,,,
2018,ME,Maine,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),20.9,,,16,26.9,25067,,,
2018,ME,Maine,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),24.1,,,19.3,29.6,29528,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),26.7,,,21.9,32.1,87690,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),19.6,,,16.3,23.2,99387,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),19.8,,,15.3,25.2,95081,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),18.4,,,14.4,23.2,107625,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),19.3,,,16.2,22.9,164971,,,
