Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),8.4,,,8.1,8.7,7555774,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),11,,,10.7,11.4,9675685,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),9.6,,,7.7,11.8,116996,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),12.4,,,10.5,14.5,147585,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),10.1,,,7.8,13.1,22008,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),10.8,,,8.2,14,21466,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),10.9,,,8.9,13.2,208867,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),11.2,,,9.3,13.5,205437,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),9.4,,,7.1,12.4,70383,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),12.6,,,10.1,15.5,86241,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),7.8,,,6.9,8.8,885130,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),10.7,,,9.6,12,1149970,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),9.1,,,8,10.4,156199,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),10.4,,,9.1,11.9,167717,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),6.2,,,5.1,7.6,62460,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),8.9,,,7.7,10.4,90001,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),8.7,,,6.8,11.1,22584,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),8.8,,,7.1,10.9,21456,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Male,Yes,Age-adjusted Prevalence (%),4.7,,,3.5,6.3,11125,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Sex,Female,Yes,Age-adjusted Prevalence (%),6.4,,,4.9,8.3,15031,,,
