Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),24.3,,,23.4,25.1,5755860,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,Yes,Prevalence (%),8.9,,,8.5,9.3,5101447,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),28,,,24.5,31.7,132445,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,Yes,Prevalence (%),9.7,,,8,11.8,72275,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),23.2,,,17.3,30.3,12821,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,Yes,Prevalence (%),10.8,,,8.1,14.4,13528,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),19.1,,,15.3,23.6,94767,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,Yes,Prevalence (%),11,,,8.8,13.7,124611,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),21.9,,,18.2,26.2,64920,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,No Disability,Age Group,45-64,Yes,Prevalence (%),10.1,,,7.7,13.1,43143,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Age Group,45-64,Yes,Prevalence (%),20.9,,,17.8,24.2,520743,,,
