Region/state of residence,TAP State Estimate  Personal Health Care,TAP State Estimate Hospital Services,TAP State Estimate Physician and Clinical Services ,TAP State Estimate Other Professional Services,TAP State Estimate Dental Services,TAP State Estimate Home Health Care,TAP State Estimate Nursing Care Facilities and Continuing Care Retirement Communities, TAP State Estimate Drugs and Other Non-durable Products,TAP State Estimate Durable Medical Equipment,TAP State Estimate Other Health Residential and Personal Care,TAP Per Capita State Est Personal Health Care (Dollars), TAP Per Capita State Est Hospital Services (Dollars),TAP Per Capita State Est Physician and Clinical Services (Dollars),TAP Per Capita State Est Other Professional Services (Dollars),TAP Per Capita State Est Dental Services (Dollars),TAP Per Capita State Est Home Health Care (Dollars),TAP Per Capita State Est Nursing Care Facilities and Continuing Care Retirement Communities (Dollars),TAP Per Capita State Est Drugs and Other Non-durable Products (Dollars),TAP Per Capita State Est Durable Medical Equipment  (Dollars), TAP Per Capita State Est Other Health Residential and Personal Care (Dollars),Medicare State Est Personal Health Care ,Medicare Per Enrollee State Est Personal Health Care (Dollars),Medicaid State Est Personal Health Care (Millions of Dollars),Medicaid Per Enrollee State Est Personal Health Care (Dollars),Private Health Insurance State Est Personal Health Care (Millions of Dollars),Total US healthcare Expenditure
United States," $2,562,824.00 "," $980,966.00 "," $597,137.00 "," $82,826.00 "," $112,832.00 "," $83,566.00 "," $152,635.00 "," $354,784.00 "," $46,622.00 "," $151,456.00 "," $8,045.00 "," $3,079.00 "," $1,874.00 ", $260.00 , $354.00 , $262.00 , $479.00 ," $1,114.00 ", $146.00 , $475.00 ," $580,583.00 "," $10,986.00 "," $446,703.00 "," $6,815.00 "," $875,154.00 "," $6,615,274.00 "
New England,"148,571","55,504","31,385","4,506","6,778","6,592","10,624","19,116","2,319","11,747","10,119","3,780","2,138",307,462,449,724,"1,302",158,800,"30,139","11,187","28,084","8,637","49,458","$416,802"
Connecticut,"35,413","11,947","7,852","1,156","1,684","1,062","3,067","5,300",506,"2,839","9,859","3,326","2,186",322,469,296,854,"1,476",141,790,"7,410","11,964","6,994","8,058","11,920","$129,897"
Maine,"12,684","5,261","2,240",438,501,270,785,"1,542",183,"1,463","9,531","3,953","1,684",329,377,203,590,"1,159",137,"1,100","2,791","9,325","2,362","7,504","4,147","$68,197"
Massachusetts,"71,274","26,544","15,280","2,034","3,241","4,503","4,860","8,437","1,150","5,225","10,559","3,933","2,264",301,480,667,720,"1,250",170,774,"14,152","11,899","13,758","8,922","23,606","$222,245"
New Hampshire,"12,742","5,010","2,960",349,708,303,775,"1,623",254,759,"9,589","3,771","2,227",263,533,228,584,"1,222",191,571,"2,431","9,397","1,319","9,129","4,661","$70,280"
Rhode Island,"10,071","3,814","1,956",328,354,266,783,"1,488",145,936,"9,551","3,617","1,855",311,335,252,742,"1,411",138,888,"2,175","10,901","2,261","10,934","3,021","$66,272"
Vermont,"6,389","2,928","1,097",201,290,189,353,726,81,525,"10,190","4,670","1,750",321,463,301,563,"1,158",129,837,"1,180","9,231","1,390","7,917","2,103","$53,592"
Mideast,"459,082","168,187","99,587","15,170","17,719","16,435","31,845","66,635","7,071","36,432","9,370","3,433","2,033",310,362,335,650,"1,360",144,744,"100,232","11,939","96,430","9,166","155,150","$1,213,391"
Delaware,"9,587","3,812","2,112",326,383,224,568,"1,425",184,553,"10,254","4,078","2,259",348,409,239,608,"1,525",197,591,"2,004","11,460","1,506","6,921","2,933","$63,000"
District of Columbia,"7,871","3,449","1,619",147,270,430,384,771,76,724,"11,944","5,233","2,457",223,410,653,583,"1,171",116,"1,098","1,023","11,814","2,178","8,998","3,688","$65,152"
Maryland,"51,330","19,589","12,611","1,644","2,219","1,055","3,737","6,847",751,"2,877","8,602","3,283","2,113",276,372,177,626,"1,147",126,482,"10,857","12,000","8,771","7,677","17,297","$167,695"
New Jersey,"79,066","26,014","21,148","3,222","3,683","2,178","5,044","12,089","1,418","4,269","8,859","2,915","2,369",361,413,244,565,"1,355",159,478,"18,437","12,614","11,934","8,049","29,959","$244,908"
New York,"192,809","71,630","36,941","5,891","7,127","9,426","12,206","28,294","2,834","18,459","9,778","3,633","1,873",299,361,478,619,"1,435",144,936,"39,926","12,179","51,821","9,803","61,730","$528,811"
Pennsylvania,"118,419","43,693","25,156","3,940","4,037","3,122","9,906","17,208","1,807","9,550","9,258","3,416","1,967",308,316,244,774,"1,345",141,747,"27,985","11,243","20,221","9,407","39,542","$343,531"
Great Lakes,"392,044","163,143","86,623","12,802","16,469","11,067","25,415","49,511","7,830","19,183","8,389","3,491","1,854",274,352,237,544,"1,059",168,410,"88,634","10,897","62,010","6,274","134,881","$1,041,551"
Illinois,"106,306","43,497","24,139","4,365","4,594","2,805","6,653","12,949","1,652","5,652","8,262","3,380","1,876",339,357,218,517,"1,006",128,439,"22,520","11,116","15,397","4,959","40,358","$308,087"
Indiana,"54,741","23,027","12,144","1,593","2,164","1,069","3,828","7,383","1,082","2,450","8,300","3,492","1,841",242,328,162,580,"1,119",164,372,"12,042","10,714","8,868","8,285","16,948","$174,070"
Michigan,"79,874","32,287","17,232","2,626","3,755","2,861","4,735","10,964","2,708","2,706","8,055","3,256","1,738",265,379,288,478,"1,106",273,273,"20,970","11,318","12,481","5,915","25,935","$239,997"
Ohio,"101,013","44,167","20,626","2,699","3,676","3,007","7,016","11,866","1,668","6,287","8,712","3,809","1,779",233,317,259,605,"1,023",144,542,"23,274","11,038","17,935","7,007","31,892","$292,659"
Wisconsin,"50,109","20,165","12,482","1,518","2,281","1,325","3,184","6,349",719,"2,088","8,702","3,502","2,168",264,396,230,553,"1,103",125,363,"9,827","9,608","7,329","7,057","19,747","$163,865"
Plains,"175,912","72,030","34,664","5,405","7,391","5,498","12,288","23,749","2,754","12,133","8,379","3,431","1,651",257,352,262,585,"1,131",131,578,"36,052","9,981","28,065","8,457","62,623","$485,694"
Iowa,"25,487","10,231","4,826",814,"1,093",548,"2,059","3,568",433,"1,914","8,200","3,292","1,553",262,352,176,662,"1,148",139,616,"5,224","9,317","4,059","6,702","9,004","$97,620"
