NAME,state,Estimate!!Total
Minnesota,27,5527358.0
Mississippi,28,2988762.0
Missouri,29,6090062.0
Montana,30,1041732.0
Nebraska,31,1904760.0
Nevada,32,2922849.0
New Hampshire,33,1343622.0
New Jersey,34,8881845.0
New Mexico,35,2092434.0
New York,36,19618453.0
North Carolina,37,10155624.0
North Dakota,38,752201.0
Ohio,39,11641879.0
Oklahoma,40,3918137.0
Oregon,41,4081943.0
Pennsylvania,42,12791181.0
Rhode Island,44,1056611.0
South Carolina,45,4955925.0
South Dakota,46,864289.0
Tennessee,47,6651089.0
Texas,48,27885195.0
Utah,49,3045350.0
Vermont,50,624977.0
Virginia,51,8413774.0
West Virginia,54,1829054.0
Washington,53,7294336.0
Wisconsin,55,5778394.0
Wyoming,56,581836.0
Puerto Rico,72,3386941.0
Alabama,01,4864680.0
Alaska,02,738516.0
Arizona,04,6946685.0
Arkansas,05,2990671.0
California,06,39148760.0
Colorado,08,5531141.0
Connecticut,09,3581504.0
Delaware,10,949495.0
District of Columbia,11,684498.0
Florida,12,20598139.0
Georgia,13,10297484.0
Idaho,16,1687809.0
Hawaii,15,1422029.0
Illinois,17,12821497.0
Indiana,18,6637426.0
Iowa,19,3132499.0
Kansas,20,2908776.0
Kentucky,21,4440204.0
Louisiana,22,4663616.0
Maine,23,1332813.0
Maryland,24,6003435.0
Massachusetts,25,6830193.0
Michigan,26,9957488.0
