NAME,state,county,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
"Washington County, Mississippi",28,151,30834.0
"Perry County, Mississippi",28,111,39007.0
"Choctaw County, Mississippi",28,019,37203.0
"Itawamba County, Mississippi",28,057,40510.0
"Carroll County, Mississippi",28,015,43060.0
"Grenada County, Mississippi",28,043,36877.0
"Jefferson County, Mississippi",28,063,20188.0
"Greene County, Mississippi",28,041,49447.0
"Marshall County, Mississippi",28,093,41572.0
"Quitman County, Mississippi",28,119,25510.0
"Bolivar County, Mississippi",28,011,29912.0
"Lamar County, Mississippi",28,073,58188.0
"Lee County, Mississippi",28,081,47978.0
"Pike County, Mississippi",28,113,30910.0
"Tallahatchie County, Mississippi",28,135,30028.0
"Smith County, Mississippi",28,129,41657.0
"Stone County, Mississippi",28,131,44883.0
"Warren County, Mississippi",28,149,43039.0
"Clarke County, Mississippi",28,023,39246.0
"Kemper County, Mississippi",28,069,28176.0
"Montgomery County, Mississippi",28,097,33667.0
"Oktibbeha County, Mississippi",28,105,38800.0
"Pearl River County, Mississippi",28,109,45820.0
"Leake County, Mississippi",28,079,33482.0
"Noxubee County, Mississippi",28,103,36000.0
"Neshoba County, Mississippi",28,099,36875.0
"Rankin County, Mississippi",28,121,64557.0
"Tate County, Mississippi",28,137,51056.0
"Lawrence County, Mississippi",28,077,42290.0
"Panola County, Mississippi",28,107,36563.0
"Yalobusha County, Mississippi",28,161,41864.0
"Chickasaw County, Mississippi",28,017,35939.0
"Copiah County, Mississippi",28,029,40361.0
"George County, Mississippi",28,039,48319.0
"Hinds County, Mississippi",28,049,43005.0
"Newton County, Mississippi",28,101,33831.0
"Union County, Mississippi",28,145,41287.0
"Sharkey County, Mississippi",28,125,28799.0
"Tippah County, Mississippi",28,139,39839.0
"Forrest County, Mississippi",28,035,40675.0
"Hancock County, Mississippi",28,045,47543.0
"Lafayette County, Mississippi",28,071,47132.0
"Issaquena County, Mississippi",28,055,25776.0
"Lowndes County, Mississippi",28,087,45355.0
"Leflore County, Mississippi",28,083,26052.0
"Wilkinson County, Mississippi",28,157,26599.0
"Harrison County, Mississippi",28,047,45566.0
"Jefferson Davis County, Mississippi",28,065,30083.0
"Lincoln County, Mississippi",28,085,40355.0
"Scott County, Mississippi",28,123,33735.0
"Winston County, Mississippi",28,159,36214.0
"Yazoo County, Mississippi",28,163,31402.0
"Benton County, Mississippi",28,009,35974.0
"Franklin County, Mississippi",28,037,40810.0
"Jasper County, Mississippi",28,061,35931.0
"Jones County, Mississippi",28,067,41263.0
"Monroe County, Mississippi",28,095,40940.0
"Sunflower County, Mississippi",28,133,30029.0
"Webster County, Mississippi",28,155,40683.0
"Adams County, Mississippi",28,001,29203.0
"Clay County, Mississippi",28,025,35121.0
"Covington County, Mississippi",28,031,35931.0
"Humphreys County, Mississippi",28,053,28507.0
"Saline County, Missouri",29,195,43201.0
"Madison County, Missouri",29,123,41322.0
"Wright County, Missouri",29,229,32752.0
"Vernon County, Missouri",29,217,43379.0
"Nodaway County, Missouri",29,147,43349.0
"Chariton County, Missouri",29,041,46992.0
"Grundy County, Missouri",29,079,42574.0
"Morgan County, Missouri",29,141,37727.0
"Wayne County, Missouri",29,223,34391.0
"Bollinger County, Missouri",29,017,42985.0
"Cape Girardeau County, Missouri",29,031,51730.0
"Shelby County, Missouri",29,205,44051.0
"Webster County, Missouri",29,225,47421.0
"Atchison County, Missouri",29,005,48385.0
"Bates County, Missouri",29,013,46186.0
"Benton County, Missouri",29,015,38028.0
"Carter County, Missouri",29,035,39415.0
"Dade County, Missouri",29,057,39979.0
"Linn County, Missouri",29,115,43642.0
"Howell County, Missouri",29,091,36143.0
"Johnson County, Missouri",29,101,53056.0
"Laclede County, Missouri",29,105,46192.0
"Maries County, Missouri",29,125,44436.0
"Phelps County, Missouri",29,161,42846.0
"Platte County, Missouri",29,165,76912.0
"St. Francois County, Missouri",29,187,45774.0
"Andrew County, Missouri",29,003,55683.0
"Carroll County, Missouri",29,033,42149.0
"Daviess County, Missouri",29,061,50380.0
"Knox County, Missouri",29,103,40383.0
"Marion County, Missouri",29,127,46762.0
"Osage County, Missouri",29,151,58476.0
"Ripley County, Missouri",29,181,33343.0
"Warren County, Missouri",29,219,57948.0
"Audrain County, Missouri",29,007,43761.0
"Christian County, Missouri",29,043,57019.0
"Greene County, Missouri",29,077,44808.0
"Harrison County, Missouri",29,081,40168.0
"St. Clair County, Missouri",29,185,38470.0
"Adair County, Missouri",29,001,40046.0
"Scotland County, Missouri",29,199,42965.0
"Sullivan County, Missouri",29,211,42604.0
"Clark County, Missouri",29,045,47955.0
"Jefferson County, Missouri",29,099,63030.0
"Lewis County, Missouri",29,111,47764.0
"New Madrid County, Missouri",29,143,35399.0
"Perry County, Missouri",29,157,54964.0
"Ralls County, Missouri",29,173,55546.0
"Ray County, Missouri",29,177,59857.0
"St. Louis County, Missouri",29,189,65300.0
"Stone County, Missouri",29,209,46443.0
"Barry County, Missouri",29,009,41463.0
"Boone County, Missouri",29,019,54043.0
"Cedar County, Missouri",29,039,39412.0
"Crawford County, Missouri",29,055,38036.0
"Iron County, Missouri",29,093,37188.0
"Livingston County, Missouri",29,117,47885.0
"Moniteau County, Missouri",29,135,54828.0
"Oregon County, Missouri",29,149,32534.0
"Dunklin County, Missouri",29,069,34186.0
"Pettis County, Missouri",29,159,44382.0
"Ste. Genevieve County, Missouri",29,186,56234.0
"Randolph County, Missouri",29,175,46610.0
"Franklin County, Missouri",29,071,55312.0
"Howard County, Missouri",29,089,50372.0
"Jackson County, Missouri",29,095,52805.0
"Miller County, Missouri",29,131,42718.0
"Pulaski County, Missouri",29,169,51665.0
"Putnam County, Missouri",29,171,37367.0
"Taney County, Missouri",29,213,41487.0
"Texas County, Missouri",29,215,35277.0
"Buchanan County, Missouri",29,021,50457.0
"Caldwell County, Missouri",29,025,48033.0
"Callaway County, Missouri",29,027,55376.0
"Cass County, Missouri",29,037,67659.0
"Clinton County, Missouri",29,049,58510.0
"Cooper County, Missouri",29,053,48750.0
"Dallas County, Missouri",29,059,41551.0
"Gentry County, Missouri",29,075,42689.0
"Hickory County, Missouri",29,085,36190.0
"Lincoln County, Missouri",29,113,61628.0
"Mississippi County, Missouri",29,133,32846.0
"Monroe County, Missouri",29,137,43973.0
"Newton County, Missouri",29,145,49023.0
"Ozark County, Missouri",29,153,32601.0
"Pike County, Missouri",29,163,45753.0
"St. Charles County, Missouri",29,183,81411.0
"Custer County, Montana",30,017,55841.0
"Hill County, Montana",30,041,47141.0
"Powder River County, Montana",30,075,52457.0
"Park County, Montana",30,067,49194.0
"Roosevelt County, Montana",30,085,42904.0
"Blaine County, Montana",30,005,38083.0
"Liberty County, Montana",30,051,47419.0
"Richland County, Montana",30,083,67272.0
"Teton County, Montana",30,099,51862.0
"Toole County, Montana",30,101,46823.0
"Fallon County, Montana",30,025,60750.0
"Daniels County, Montana",30,019,54750.0
"Judith Basin County, Montana",30,045,45764.0
"Silver Bow County, Montana",30,093,42237.0
"Deer Lodge County, Montana",30,023,41783.0
"Jefferson County, Montana",30,043,66867.0
"McCone County, Montana",30,055,47500.0
"Wheatland County, Montana",30,107,41186.0
"Rosebud County, Montana",30,087,56549.0
"Carter County, Montana",30,011,44196.0
"Dawson County, Montana",30,021,59820.0
"Broadwater County, Montana",30,007,56469.0
"Lake County, Montana",30,047,45488.0
"Pondera County, Montana",30,073,45458.0
"Yellowstone County, Montana",30,111,59117.0
"Ravalli County, Montana",30,081,48930.0
"Valley County, Montana",30,105,55882.0
"Fergus County, Montana",30,027,50327.0
"Mineral County, Montana",30,061,41905.0
"Petroleum County, Montana",30,069,44688.0
"Sanders County, Montana",30,089,36984.0
"Flathead County, Montana",30,029,52966.0
"Wibaux County, Montana",30,109,50202.0
"Meagher County, Montana",30,059,43109.0
"Carbon County, Montana",30,009,57538.0
"Phillips County, Montana",30,071,46222.0
"Adams County, Nebraska",31,001,51536.0
"Lancaster County, Nebraska",31,109,58009.0
"Boone County, Nebraska",31,011,54063.0
"Rock County, Nebraska",31,149,52604.0
"Banner County, Nebraska",31,007,59625.0
"Sherman County, Nebraska",31,163,51172.0
"Richardson County, Nebraska",31,147,48096.0
"Howard County, Nebraska",31,093,54399.0
"Holt County, Nebraska",31,089,57468.0
"Furnas County, Nebraska",31,065,47989.0
"Gosper County, Nebraska",31,073,62545.0
"Saline County, Nebraska",31,151,51143.0
"Sarpy County, Nebraska",31,153,79549.0
"Thurston County, Nebraska",31,173,48149.0
"Washington County, Nebraska",31,177,70753.0
"Boyd County, Nebraska",31,015,50729.0
"Cherry County, Nebraska",31,031,53684.0
"Dodge County, Nebraska",31,053,53101.0
"Fillmore County, Nebraska",31,059,55625.0
"Garden County, Nebraska",31,069,44471.0
"Hooker County, Nebraska",31,091,39115.0
"Morrill County, Nebraska",31,123,45121.0
"Nemaha County, Nebraska",31,127,51922.0
"Seward County, Nebraska",31,159,67591.0
"Thomas County, Nebraska",31,171,50682.0
"Dakota County, Nebraska",31,043,55017.0
"Webster County, Nebraska",31,181,42298.0
"Antelope County, Nebraska",31,003,48716.0
"Butler County, Nebraska",31,023,55562.0
"Clay County, Nebraska",31,035,56316.0
"Custer County, Nebraska",31,041,49891.0
"Gage County, Nebraska",31,067,51662.0
"Hamilton County, Nebraska",31,081,64042.0
"Kearney County, Nebraska",31,099,56952.0
"Keith County, Nebraska",31,101,48901.0
"Madison County, Nebraska",31,119,52857.0
"Perkins County, Nebraska",31,135,62469.0
"Saunders County, Nebraska",31,155,66718.0
"Wayne County, Nebraska",31,179,62623.0
"Keya Paha County, Nebraska",31,103,49688.0
"Knox County, Nebraska",31,107,49752.0
"Lincoln County, Nebraska",31,111,56794.0
"Pierce County, Nebraska",31,139,56620.0
"Sioux County, Nebraska",31,165,46875.0
"Cass County, Nebraska",31,025,71139.0
"Dixon County, Nebraska",31,051,56775.0
"Dundy County, Nebraska",31,057,44350.0
"Greeley County, Nebraska",31,077,47128.0
"Hall County, Nebraska",31,079,54742.0
"Otoe County, Nebraska",31,131,54828.0
"Red Willow County, Nebraska",31,145,46859.0
"Dawes County, Nebraska",31,045,51748.0
"Cheyenne County, Nebraska",31,033,56538.0
"Dawson County, Nebraska",31,047,53769.0
"Valley County, Nebraska",31,175,55170.0
"McPherson County, Nebraska",31,117,48882.0
"Nance County, Nebraska",31,125,45833.0
"Stanton County, Nebraska",31,167,62687.0
"Harlan County, Nebraska",31,083,50344.0
"Blaine County, Nebraska",31,009,50870.0
"Buffalo County, Nebraska",31,019,56952.0
"Deuel County, Nebraska",31,049,48500.0
"Hitchcock County, Nebraska",31,087,42902.0
"Platte County, Nebraska",31,141,62617.0
"Thayer County, Nebraska",31,169,50734.0
"Box Butte County, Nebraska",31,013,56412.0
"Churchill County, Nevada",32,001,51514.0
"Douglas County, Nevada",32,005,62503.0
"Pershing County, Nevada",32,027,50846.0
"Esmeralda County, Nevada",32,009,40000.0
"Humboldt County, Nevada",32,013,70373.0
"Mineral County, Nevada",32,021,41163.0
"White Pine County, Nevada",32,033,62993.0
"Elko County, Nevada",32,007,77209.0
"Lincoln County, Nevada",32,017,56414.0
"Nye County, Nevada",32,023,45711.0
"Storey County, Nevada",32,029,62284.0
"Washoe County, Nevada",32,031,61155.0
"Clark County, Nevada",32,003,56802.0
"Carson City, Nevada",32,510,52034.0
"Lyon County, Nevada",32,019,55493.0
"Cheshire County, New Hampshire",33,005,63057.0
"Merrimack County, New Hampshire",33,013,72478.0
"Grafton County, New Hampshire",33,009,63153.0
"Rockingham County, New Hampshire",33,015,90429.0
"Belknap County, New Hampshire",33,001,68368.0
"Sullivan County, New Hampshire",33,019,60780.0
"Hillsborough County, New Hampshire",33,011,78655.0
"Strafford County, New Hampshire",33,017,70650.0
"Coos County, New Hampshire",33,007,45696.0
"Carroll County, New Hampshire",33,003,61116.0
"Monmouth County, New Jersey",34,025,95699.0
"Sussex County, New Jersey",34,037,90520.0
"Cumberland County, New Jersey",34,011,52593.0
"Essex County, New Jersey",34,013,59302.0
"Ocean County, New Jersey",34,029,68021.0
"Gloucester County, New Jersey",34,015,85160.0
"Salem County, New Jersey",34,033,64309.0
"Passaic County, New Jersey",34,031,66476.0
"Camden County, New Jersey",34,007,67118.0
"Bergen County, New Jersey",34,003,95837.0
"Warren County, New Jersey",34,041,78145.0
"Hudson County, New Jersey",34,017,66289.0
"Burlington County, New Jersey",34,005,84992.0
"Morris County, New Jersey",34,027,111316.0
"Rio Arriba County, New Mexico",35,039,
"San Miguel County, New Mexico",35,047,31660.0
"Torrance County, New Mexico",35,057,37218.0
"Otero County, New Mexico",35,035,42752.0
