NAME,state,Estimate!!Total!!Male!!18 and under years!!No,Estimate!!Total!!Male!!19 to 44 years!!No,Estimate!!Total!!Male!!45 to 64 years!!No,Estimate!!Total!!Male!!65 and over years!!No,Estimate!!Total!!Male!!All Ages!!No,Estimate!!Total!!Male!!18 and under years!!Yes,Estimate!!Total!!Male!!19 to 44 years!!Yes,Estimate!!Total!!Male!!45 to 64 years!!Yes,Estimate!!Total!!Male!!65 and over years!!Yes,Estimate!!Total!!Male!!All Ages!!Yes,Estimate!!Total!!Male!!18 and under years,Estimate!!Total!!Male!!19 to 44 years,Estimate!!Total!!Male!!45 to 64 years,Estimate!!Total!!Male!!65 and over years,Estimate!!Total!!Male,Estimate!!Total!!Female!!18 and under years!!No,Estimate!!Total!!Female!!19 to 44 years!!No,Estimate!!Total!!Female!!45 to 64 years!!No,Estimate!!Total!!Female!!65 and over years!!No,Estimate!!Total!!Female!!All Ages!!No,Estimate!!Total!!Female!!18 and under years!!Yes,Estimate!!Total!!Female!!19 to 44 years!!Yes,Estimate!!Total!!Female!!45 to 64 years!!Yes,Estimate!!Total!!Female!!65 and over years!!Yes,Estimate!!Total!!Female!!All Ages!!Yes,Estimate!!Total!!Female!!18 and under years,Estimate!!Total!!Female!!19 to 44 years,Estimate!!Total!!Female!!45 to 64 years,Estimate!!Total!!Female!!65 and over years,Estimate!!Total!!Female,Estimate!!Total
Wyoming,56,5592.0,19557.0,9799.0,132.0,35080.0,69236.0,80266.0,64846.0,40752.0,255100.0,74828.0,99823.0,74645.0,40884.0,290180.0,5561.0,15329.0,8734.0,183.0,29807.0,64614.0,78257.0,64703.0,44362.0,251936.0,70175.0,93586.0,73437.0,44545.0,281743.0,571923.0
Vermont,50,1187.0,9147.0,4739.0,89.0,15162.0,64893.0,90152.0,83882.0,50486.0,289413.0,66080.0,99299.0,88621.0,50575.0,304575.0,1010.0,5350.0,3727.0,113.0,10200.0,60807.0,94106.0,89726.0,59482.0,304121.0,61817.0,99456.0,93453.0,59595.0,314321.0,618896.0
District of Columbia,11,1540.0,10697.0,3916.0,235.0,16388.0,64422.0,138301.0,66012.0,31746.0,300481.0,65962.0,148998.0,69928.0,31981.0,316869.0,1209.0,6390.0,2784.0,317.0,10700.0,64547.0,163506.0,71797.0,46839.0,346689.0,65756.0,169896.0,74581.0,47156.0,357389.0,674258.0
Alaska,02,10645.0,30713.0,15367.0,450.0,57175.0,89843.0,99623.0,80296.0,38077.0,307839.0,100488.0,130336.0,95663.0,38527.0,365014.0,9487.0,22745.0,13046.0,503.0,45781.0,84716.0,103474.0,77058.0,38063.0,303311.0,94203.0,126219.0,90104.0,38566.0,349092.0,714106.0
North Dakota,38,7245.0,16449.0,6868.0,172.0,30734.0,87638.0,125339.0,84630.0,47803.0,345410.0,94883.0,141788.0,91498.0,47975.0,376144.0,6045.0,12399.0,5163.0,144.0,23751.0,82873.0,114799.0,82921.0,55753.0,336346.0,88918.0,127198.0,88084.0,55897.0,360097.0,736241.0
South Dakota,46,6650.0,26056.0,11525.0,171.0,44402.0,107954.0,116459.0,95819.0,60271.0,380503.0,114604.0,142515.0,107344.0,60442.0,424905.0,6542.0,18951.0,9337.0,257.0,35087.0,101998.0,117635.0,97622.0,69574.0,386829.0,108540.0,136586.0,106959.0,69831.0,421916.0,846821.0
Delaware,10,4235.0,18892.0,7967.0,557.0,31651.0,105158.0,127805.0,111606.0,72552.0,417121.0,109393.0,146697.0,119573.0,73109.0,448772.0,4362.0,12651.0,7206.0,621.0,24840.0,102520.0,142136.0,127096.0,89379.0,461131.0,106882.0,154787.0,134302.0,90000.0,485971.0,934743.0
Montana,30,8648.0,32388.0,16307.0,302.0,57645.0,114706.0,136603.0,119228.0,86001.0,456538.0,123354.0,168991.0,135535.0,86303.0,514183.0,7729.0,23283.0,15925.0,328.0,47265.0,109127.0,139601.0,123926.0,92484.0,465138.0,116856.0,162884.0,139851.0,92812.0,512403.0,1026586.0
Rhode Island,44,2995.0,21713.0,7593.0,204.0,32505.0,111878.0,155769.0,131692.0,72272.0,471611.0,114873.0,177482.0,139285.0,72476.0,504116.0,3126.0,12182.0,6001.0,455.0,21764.0,106996.0,168699.0,145097.0,94207.0,514999.0,110122.0,180881.0,151098.0,94662.0,536763.0,1040879.0
Maine,23,7860.0,33340.0,19397.0,256.0,60853.0,131240.0,163103.0,173955.0,114232.0,582530.0,139100.0,196443.0,193352.0,114488.0,643383.0,7229.0,23370.0,18028.0,161.0,48788.0,125096.0,176754.0,186794.0,136819.0,625463.0,132325.0,200124.0,204822.0,136980.0,674251.0,1317634.0
New Hampshire,33,3982.0,28065.0,16024.0,201.0,48272.0,139763.0,182271.0,183345.0,100786.0,606165.0,143745.0,210336.0,199369.0,100987.0,654437.0,4357.0,19337.0,13813.0,495.0,38002.0,134065.0,189850.0,191967.0,117922.0,633804.0,138422.0,209187.0,205780.0,118417.0,671806.0,1326243.0
Hawaii,15,3667.0,17660.0,9141.0,659.0,31127.0,161038.0,204874.0,165246.0,108971.0,640129.0,164705.0,222534.0,174387.0,109630.0,671256.0,3998.0,12238.0,7527.0,734.0,24497.0,152701.0,217798.0,173056.0,131200.0,674755.0,156699.0,230036.0,180583.0,131934.0,699252.0,1370508.0
Idaho,16,13497.0,55856.0,26943.0,417.0,96713.0,223068.0,220357.0,171636.0,117862.0,732923.0,236565.0,276213.0,198579.0,118279.0,829636.0,13227.0,47078.0,26167.0,562.0,87034.0,213790.0,227251.0,177835.0,130829.0,749705.0,227017.0,274329.0,204002.0,131391.0,836739.0,1666375.0
West Virginia,54,6186.0,41474.0,19970.0,274.0,67904.0,195802.0,242758.0,226411.0,152702.0,817673.0,201988.0,284232.0,246381.0,152976.0,885577.0,5484.0,25556.0,17554.0,328.0,48922.0,187340.0,256829.0,238995.0,182607.0,865771.0,192824.0,282385.0,256549.0,182935.0,914693.0,1800270.0
Nebraska,31,13492.0,50181.0,20908.0,642.0,85223.0,242242.0,271349.0,210143.0,123110.0,846844.0,255734.0,321530.0,231051.0,123752.0,932067.0,12156.0,41576.0,18309.0,567.0,72608.0,229586.0,275074.0,216286.0,149847.0,870793.0,241742.0,316650.0,234595.0,150414.0,943401.0,1875468.0
New Mexico,35,15187.0,72465.0,32624.0,1334.0,121610.0,250553.0,267505.0,216203.0,152283.0,886544.0,265740.0,339970.0,248827.0,153617.0,1008154.0,14905.0,52630.0,28875.0,2390.0,98800.0,241910.0,286504.0,241873.0,180285.0,950572.0,256815.0,339134.0,270748.0,182675.0,1049372.0,2057526.0
Kansas,20,19941.0,81554.0,34116.0,824.0,136435.0,365521.0,399558.0,317609.0,187878.0,1270566.0,385462.0,481112.0,351725.0,188702.0,1407001.0,18981.0,66806.0,33268.0,1022.0,120077.0,350706.0,411066.0,331046.0,229433.0,1322251.0,369687.0,477872.0,364314.0,230455.0,1442328.0,2849329.0
Nevada,32,28375.0,107326.0,47455.0,2901.0,186057.0,332785.0,395879.0,321767.0,202543.0,1252974.0,361160.0,503205.0,369222.0,205444.0,1439031.0,27301.0,83460.0,43190.0,4096.0,158047.0,318507.0,417804.0,329907.0,224179.0,1290397.0,345808.0,501264.0,373097.0,228275.0,1448444.0,2887475.0
Mississippi,28,19468.0,122381.0,51772.0,725.0,194346.0,370269.0,345839.0,299754.0,189016.0,1204878.0,389737.0,468220.0,351526.0,189741.0,1399224.0,18395.0,102136.0,54565.0,915.0,176011.0,355607.0,407456.0,338739.0,245610.0,1347412.0,374002.0,509592.0,393304.0,246525.0,1523423.0,2922647.0
Arkansas,05,18291.0,92272.0,36056.0,1031.0,147650.0,363403.0,388657.0,322554.0,210303.0,1284917.0,381694.0,480929.0,358610.0,211334.0,1432567.0,16484.0,69212.0,30923.0,1165.0,117784.0,347046.0,426705.0,354171.0,258862.0,1386784.0,363530.0,495917.0,385094.0,260027.0,1504568.0,2937135.0
Utah,49,36944.0,90497.0,32136.0,1191.0,160768.0,459303.0,484444.0,263776.0,145332.0,1352855.0,496247.0,574941.0,295912.0,146523.0,1513623.0,34738.0,74318.0,30051.0,1886.0,140993.0,435150.0,491164.0,270958.0,167691.0,1364963.0,469888.0,565482.0,301009.0,169577.0,1505956.0,3019579.0
Iowa,19,12612.0,51881.0,21315.0,557.0,86365.0,381859.0,468465.0,374148.0,219337.0,1443809.0,394471.0,520346.0,395463.0,219894.0,1530174.0,11124.0,36341.0,17985.0,654.0,66104.0,367809.0,471381.0,383817.0,269557.0,1492564.0,378933.0,507722.0,401802.0,270211.0,1558668.0,3088842.0
Puerto Rico,72,11993.0,75869.0,37727.0,1926.0,127515.0,363346.0,464599.0,365112.0,273893.0,1466950.0,375339.0,540468.0,402839.0,275819.0,1594465.0,10977.0,39462.0,29410.0,2428.0,82277.0,349317.0,539860.0,440725.0,354927.0,1684829.0,360294.0,579322.0,470135.0,357355.0,1767106.0,3361571.0
Connecticut,09,12645.0,67607.0,30467.0,1417.0,112136.0,399131.0,497372.0,459892.0,245719.0,1602114.0,411776.0,564979.0,490359.0,247136.0,1714250.0,12816.0,44526.0,24996.0,2335.0,84673.0,380565.0,532096.0,501340.0,317164.0,1731165.0,393381.0,576622.0,526336.0,319499.0,1815838.0,3530088.0
Oklahoma,40,42230.0,166668.0,75680.0,1479.0,286057.0,474586.0,484213.0,384074.0,253391.0,1596264.0,516816.0,650881.0,459754.0,254870.0,1882321.0,39869.0,142636.0,75240.0,1768.0,259513.0,454147.0,515292.0,412023.0,314272.0,1695734.0,494016.0,657928.0,487263.0,316040.0,1955247.0,3837568.0
Oregon,41,18505.0,102356.0,43162.0,1486.0,165509.0,450159.0,603654.0,468342.0,305832.0,1827987.0,468664.0,706010.0,511504.0,307318.0,1993496.0,17201.0,70655.0,38502.0,1823.0,128181.0,431395.0,627119.0,498839.0,363043.0,1920396.0,448596.0,697774.0,537341.0,364866.0,2048577.0,4042073.0
Kentucky,21,21095.0,91978.0,36642.0,844.0,150559.0,526325.0,625609.0,529999.0,296146.0,1978079.0,547420.0,717587.0,566641.0,296990.0,2128638.0,20032.0,62397.0,31303.0,1125.0,114857.0,502532.0,668847.0,571535.0,370786.0,2113700.0,522564.0,731244.0,602838.0,371911.0,2228557.0,4357195.0
Louisiana,22,23177.0,169396.0,70368.0,1383.0,264324.0,570266.0,592503.0,483993.0,286526.0,1933288.0,593443.0,761899.0,554361.0,287909.0,2197612.0,21998.0,129544.0,69452.0,1794.0,222788.0,550412.0,681324.0,541171.0,365967.0,2138874.0,572410.0,810868.0,610623.0,367761.0,2361662.0,4559274.0
Alabama,01,20297.0,163591.0,68312.0,1640.0,253840.0,572308.0,604655.0,536091.0,332138.0,2045192.0,592605.0,768246.0,604403.0,333778.0,2299032.0,18374.0,135695.0,68064.0,1501.0,223634.0,554793.0,683203.0,595771.0,428607.0,2262374.0,573167.0,818898.0,663835.0,430108.0,2486008.0,4785040.0
South Carolina,45,28047.0,179405.0,80681.0,1450.0,289583.0,561041.0,593988.0,527103.0,359689.0,2041821.0,589088.0,773393.0,607784.0,361139.0,2331404.0,26536.0,137522.0,80026.0,1557.0,245641.0,543517.0,687067.0,601997.0,448859.0,2281440.0,570053.0,824589.0,682023.0,450416.0,2527081.0,4858485.0
Colorado,08,31477.0,157100.0,59652.0,2357.0,250586.0,649372.0,852854.0,627040.0,330064.0,2459330.0,680849.0,1009954.0,686692.0,332421.0,2709916.0,30462.0,104860.0,52588.0,3354.0,191264.0,620069.0,872173.0,656197.0,389648.0,2538087.0,650531.0,977033.0,708785.0,393002.0,2729351.0,5439267.0
Minnesota,27,24847.0,86578.0,35322.0,944.0,147691.0,672847.0,847273.0,687651.0,363015.0,2570786.0,697694.0,933851.0,722973.0,363959.0,2718477.0,22942.0,54187.0,28528.0,1416.0,107073.0,644884.0,860966.0,703516.0,434473.0,2643839.0,667826.0,915153.0,732044.0,435889.0,2750912.0,5469389.0
Wisconsin,55,27272.0,111867.0,45731.0,1429.0,186299.0,672381.0,826946.0,731188.0,406619.0,2637134.0,699653.0,938813.0,776919.0,408048.0,2823433.0,26239.0,75086.0,40418.0,1382.0,143125.0,643229.0,856147.0,752426.0,487846.0,2739648.0,669468.0,931233.0,792844.0,489228.0,2882773.0,5706206.0
Maryland,24,26154.0,131999.0,53464.0,3243.0,214860.0,697835.0,842714.0,719055.0,366750.0,2626354.0,723989.0,974713.0,772519.0,369993.0,2841214.0,24434.0,92536.0,44844.0,5456.0,167270.0,671891.0,938349.0,812098.0,476351.0,2898689.0,696325.0,1030885.0,856942.0,481807.0,3065959.0,5907173.0
Missouri,29,42702.0,180471.0,81275.0,1947.0,306395.0,704486.0,802251.0,684253.0,416419.0,2607409.0,747188.0,982722.0,765528.0,418366.0,2913804.0,42538.0,149405.0,80294.0,2370.0,274607.0,670273.0,859280.0,735576.0,523198.0,2788327.0,712811.0,1008685.0,815870.0,525568.0,3062934.0,5976738.0
Indiana,18,55240.0,182261.0,79007.0,2555.0,319063.0,797243.0,912241.0,756390.0,422265.0,2888139.0,852483.0,1094502.0,835397.0,424820.0,3207202.0,54451.0,146291.0,74149.0,2589.0,277480.0,760036.0,962471.0,798605.0,532746.0,3053858.0,814487.0,1108762.0,872754.0,535335.0,3331338.0,6538540.0
Tennessee,47,38270.0,221658.0,105847.0,2190.0,367965.0,770730.0,855713.0,726874.0,449606.0,2802923.0,809000.0,1077371.0,832721.0,451796.0,3170888.0,33752.0,156280.0,100378.0,2497.0,292907.0,740792.0,976472.0,804265.0,562339.0,3083868.0,774544.0,1132752.0,904643.0,564836.0,3376775.0,6547663.0
