NAME,state,county,Estimate!!Total
"Washington County, Mississippi",28,151,47086.0
"Perry County, Mississippi",28,111,12028.0
"Choctaw County, Mississippi",28,019,8321.0
"Itawamba County, Mississippi",28,057,23480.0
"Carroll County, Mississippi",28,015,10129.0
"Grenada County, Mississippi",28,043,21278.0
"Jefferson County, Mississippi",28,063,7346.0
"Greene County, Mississippi",28,041,13714.0
"Marshall County, Mississippi",28,093,35787.0
"Quitman County, Mississippi",28,119,7372.0
"Bolivar County, Mississippi",28,011,32592.0
"Lamar County, Mississippi",28,073,61223.0
"Lee County, Mississippi",28,081,84915.0
"Pike County, Mississippi",28,113,39737.0
"Tallahatchie County, Mississippi",28,135,14361.0
"Smith County, Mississippi",28,129,16063.0
"Stone County, Mississippi",28,131,18375.0
"Warren County, Mississippi",28,149,47075.0
"Clarke County, Mississippi",28,023,15928.0
"Kemper County, Mississippi",28,069,10107.0
"Montgomery County, Mississippi",28,097,10198.0
"Oktibbeha County, Mississippi",28,105,49481.0
"Pearl River County, Mississippi",28,109,55149.0
"Leake County, Mississippi",28,079,22870.0
"Noxubee County, Mississippi",28,103,10828.0
"Neshoba County, Mississippi",28,099,29376.0
"Rankin County, Mississippi",28,121,151240.0
"Tate County, Mississippi",28,137,28493.0
"Lawrence County, Mississippi",28,077,12630.0
"Panola County, Mississippi",28,107,34243.0
"Yalobusha County, Mississippi",28,161,12421.0
"Chickasaw County, Mississippi",28,017,17279.0
"Copiah County, Mississippi",28,029,28721.0
"George County, Mississippi",28,039,23710.0
"Hinds County, Mississippi",28,049,241774.0
"Newton County, Mississippi",28,101,21524.0
"Union County, Mississippi",28,145,28356.0
"Sharkey County, Mississippi",28,125,4511.0
"Tippah County, Mississippi",28,139,21990.0
"Forrest County, Mississippi",28,035,75517.0
"Hancock County, Mississippi",28,045,46653.0
"Lafayette County, Mississippi",28,071,53459.0
"Issaquena County, Mississippi",28,055,1328.0
"Lowndes County, Mississippi",28,087,59437.0
"Leflore County, Mississippi",28,083,29804.0
"Wilkinson County, Mississippi",28,157,8990.0
"Harrison County, Mississippi",28,047,202626.0
"Jefferson Davis County, Mississippi",28,065,11495.0
"Lincoln County, Mississippi",28,085,34432.0
"Scott County, Mississippi",28,123,28415.0
"Winston County, Mississippi",28,159,18358.0
"Yazoo County, Mississippi",28,163,27974.0
"Benton County, Mississippi",28,009,8253.0
"Franklin County, Mississippi",28,037,7757.0
"Jasper County, Mississippi",28,061,16529.0
"Jones County, Mississippi",28,067,68454.0
"Monroe County, Mississippi",28,095,35840.0
"Sunflower County, Mississippi",28,133,26532.0
"Webster County, Mississippi",28,155,9828.0
"Adams County, Mississippi",28,001,31547.0
"Clay County, Mississippi",28,025,19808.0
"Covington County, Mississippi",28,031,19091.0
"Humphreys County, Mississippi",28,053,8539.0
"Saline County, Missouri",29,195,23102.0
"Madison County, Missouri",29,123,12205.0
"Wright County, Missouri",29,229,18293.0
"Vernon County, Missouri",29,217,20691.0
"Nodaway County, Missouri",29,147,22547.0
"Chariton County, Missouri",29,041,7546.0
"Grundy County, Missouri",29,079,10039.0
"Morgan County, Missouri",29,141,20137.0
"Wayne County, Missouri",29,223,13308.0
"Bollinger County, Missouri",29,017,12281.0
"Cape Girardeau County, Missouri",29,031,78324.0
"Shelby County, Missouri",29,205,6061.0
"Webster County, Missouri",29,225,38082.0
"Atchison County, Missouri",29,005,5270.0
"Bates County, Missouri",29,013,16374.0
