NAME,B19013_001E,state,county
"Washington County, Mississippi",30834.0,28,151
"Perry County, Mississippi",39007.0,28,111
"Choctaw County, Mississippi",37203.0,28,019
"Itawamba County, Mississippi",40510.0,28,057
"Carroll County, Mississippi",43060.0,28,015
"Grenada County, Mississippi",36877.0,28,043
"Jefferson County, Mississippi",20188.0,28,063
"Greene County, Mississippi",49447.0,28,041
"Marshall County, Mississippi",41572.0,28,093
"Quitman County, Mississippi",25510.0,28,119
"Bolivar County, Mississippi",29912.0,28,011
"Lamar County, Mississippi",58188.0,28,073
"Lee County, Mississippi",47978.0,28,081
"Pike County, Mississippi",30910.0,28,113
"Tallahatchie County, Mississippi",30028.0,28,135
"Smith County, Mississippi",41657.0,28,129
"Stone County, Mississippi",44883.0,28,131
"Warren County, Mississippi",43039.0,28,149
"Clarke County, Mississippi",39246.0,28,023
"Kemper County, Mississippi",28176.0,28,069
"Montgomery County, Mississippi",33667.0,28,097
"Oktibbeha County, Mississippi",38800.0,28,105
"Pearl River County, Mississippi",45820.0,28,109
"Leake County, Mississippi",33482.0,28,079
"Noxubee County, Mississippi",36000.0,28,103
"Neshoba County, Mississippi",36875.0,28,099
"Rankin County, Mississippi",64557.0,28,121
"Tate County, Mississippi",51056.0,28,137
"Lawrence County, Mississippi",42290.0,28,077
"Panola County, Mississippi",36563.0,28,107
"Yalobusha County, Mississippi",41864.0,28,161
"Chickasaw County, Mississippi",35939.0,28,017
"Copiah County, Mississippi",40361.0,28,029
"George County, Mississippi",48319.0,28,039
"Hinds County, Mississippi",43005.0,28,049
"Newton County, Mississippi",33831.0,28,101
"Union County, Mississippi",41287.0,28,145
"Sharkey County, Mississippi",28799.0,28,125
"Tippah County, Mississippi",39839.0,28,139
"Forrest County, Mississippi",40675.0,28,035
"Hancock County, Mississippi",47543.0,28,045
"Lafayette County, Mississippi",47132.0,28,071
"Issaquena County, Mississippi",25776.0,28,055
"Lowndes County, Mississippi",45355.0,28,087
"Leflore County, Mississippi",26052.0,28,083
